kanji,id,keyword,components,on_reading,kun_reading,stroke_count,jlpt,romaji
書,349,write,brush; tongue wagging; sun; day,ショ,か.く; -が.き; -がき,10,N5,sho (ON); ka.ku (KUN); -ga.ki (KUN); -gaki (KUN)
津,350,haven,water; water droplets; water pistol; brush,シン,つ,9,N1,shin (ON); tsu (KUN)
牧,351,breed,cow; taskmaster,ボク,まき,8,N1,boku (ON); maki (KUN)
攻,352,aggression,craft; taskmaster,コウ,せ.める,7,N1,kou (ON); se.meru (KUN)
敗,353,failure,shellfish; clam; oyster; eye; animal legs; eight; taskmaster,ハイ,やぶ.れる,11,N3,hai (ON); yabu.reru (KUN)
枚,354,a sheet of,sheet of…; tree; wood; taskmaster,マイ; バイ,,8,N2,mai (ON); bai (ON)
故,355,happenstance,old; tombstone; gravestone; church; ten; needle; mouth; taskmaster,コ,ゆえ; ふる.い; もと,9,N1,ko (ON); yue (KUN); furu.i (KUN); moto (KUN)
敬,356,awe,flowers; phrase; bound up; mouth; taskmaster,ケイ; キョウ,うやま.う,12,N2,kei (ON); kyou (ON); uyama.u (KUN)
言,357,say,words; keitai; mouth,ゲン; ゴン,い.う; こと,7,N4,gen (ON); gon (ON); i.u (KUN); koto (KUN)
警,358,admonish,awe; flowers; phrase; bound up; mouth; taskmaster; say; words; keitai; mouth,ケイ,いまし.める,19,N3,kei (ON); imashi.meru (KUN)
計,359,plot,say; words; keitai; mouth; ten; needle,ケイ,はか.る; はか.らう,9,N4,kei (ON); haka.ru (KUN); haka.rau (KUN)
詮,360,elucidate,say; words; keitai; mouth; whole; umbrella; king; jewel; ball,セン,せん.ずる; かい; あき.らか,13,,sen (ON); sen.zuru (KUN); kai (KUN); aki.raka (KUN)
獄,361,prison,pack of wild dogs; say; words; keitai; mouth; chihuahua; dog; large; drop,ゴク,,14,N1,goku (ON)
訂,362,revise,say; words; keitai; mouth; street; nail; spike,テイ,,9,N1,tei (ON)
訃,363,obituary,,フ,"しらせ<span class=""Apple-tab-span"" style=""white-space:pre""> </span>",9,,"fu (ON); shirase<span class=""Apple-tab-span"" style=""white-space:pre""> </span> (KUN)"
討,364,chastise,say; words; keitai; mouth; glue,トウ,う.つ,10,N1,tou (ON); u.tsu (KUN)
訓,365,instruction,say; words; keitai; mouth; stream; flood,クン; キン,おし.える; よ.む; くん.ずる,10,N2,kun (ON); kin (ON); oshi.eru (KUN); yo.mu (KUN); kun.zuru (KUN)
詔,366,imperial edict,say; words; keitai; mouth; summon; seduce; sword; dagger; mouth,ショウ,みことのり,12,N1,shou (ON); mikotonori (KUN)
詰,367,packed,say; words; keitai; mouth; aerosol; good luck; samurai; mouth,キツ; キチ,つ.める; つ.め; -づ.め; つ.まる; つ.む,13,N2,kitsu (ON); kichi (ON); tsu.meru (KUN); tsu.me (KUN); -zu.me (KUN); tsu.maru (KUN); tsu.mu (KUN)
話,368,tale,say; words; keitai; mouth; tongue; thousand; mouth,ワ,はな.す; はなし,13,N5,wa (ON); hana.su (KUN); hanashi (KUN)
詠,369,recitation,say; words; keitai; mouth; eternity; drop; water,エイ,よ.む; うた.う,12,N1,ei (ON); yo.mu (KUN); uta.u (KUN)
詩,370,poem,say; words; keitai; mouth; Buddhist temple; soil; dirt; ground; glue,シ,うた,13,N1,shi (ON); uta (KUN)
語,371,word,say; words; keitai; mouth; I; five; mouth,ゴ,かた.る; かた.らう,14,N5,go (ON); kata.ru (KUN); kata.rau (KUN)
読,372,read,say; words; keitai; mouth; sell; sale; samurai; paper punch; Miss World; crown; human legs,ドク; トク; トウ,よ.む; -よ.み,14,N5,doku (ON); toku (ON); tou (ON); yo.mu (KUN); -yo.mi (KUN)
調,373,tune,say; words; keitai; mouth; circumference; running track; soil; dirt; ground; mouth,チョウ,しら.べる; しら.べ; ととの.う; ととの.える,15,N3,chou (ON); shira.beru (KUN); shira.be (KUN); totono.u (KUN); totono.eru (KUN)
談,374,discuss,say; words; keitai; mouth; inflammation; fire,ダン,,15,N3,dan (ON)
諾,375,consent,say; words; keitai; mouth; young; flowers; by one’s side; mouth,ダク,,15,N1,daku (ON)
諭,376,rebuke,say; words; keitai; mouth; meeting of butchers; moon; month; flesh; part of the body; sword; sabre; saber,ユ,さと.す,16,N1,yu (ON); sato.su (KUN)
式,377,style,arrow; craft,シキ,,6,N3,shiki (ON)
試,378,test,say; words; keitai; mouth; style; arrow; craft,シ,こころ.みる; ため.す,13,N4,shi (ON); kokoro.miru (KUN); tame.su (KUN)
弐,379,II (two),II; two; arrows; quiver,ニ; ジ,ふた.つ; そえ,6,N1,ni (ON); ji (ON); futa.tsu (KUN); soe (KUN)
域,380,range,soil; dirt; ground; pope; fiesta; mouth; one; floor,イキ,,11,N2,iki (ON)
賊,381,burglar,shellfish; clam; oyster; eye; animal legs; eight; ten; needle; fiesta,ゾク,,13,N1,zoku (ON)
栽,382,plantation,Thanksgiving; harvest festival; ten; needle; fiesta; tree; wood,サイ,,10,N1,sai (ON)
載,383,load,Thanksgiving; harvest festival; ten; needle; fiesta; car; vehicle,サイ,の.せる; の.る,13,N1,sai (ON); no.seru (KUN); no.ru (KUN)
茂,384,overgrown,flowers; parade,モ,しげ.る,8,N1,mo (ON); shige.ru (KUN)
戚,385,relatives,half-uncle; above; small; little; parade,ソク; セキ,いた.む; うれ.える; みうち,11,,soku (ON); seki (ON); ita.mu (KUN); ure.eru (KUN); miuchi (KUN)
成,386,turn into,parade; sword; dagger,セイ; ジョウ,な.る; な.す; -な.す,6,N3,sei (ON); jou (ON); na.ru (KUN); na.su (KUN); -na.su (KUN)
城,387,castle,soil; dirt; ground; turn into; parade; sword; dagger,ジョウ,しろ,9,N2,jou (ON); shiro (KUN)
誠,388,sincerity,say; words; keitai; mouth; turn into; sword; dagger; parade,セイ,まこと,13,N1,sei (ON); makoto (KUN)
威,389,intimidate,march; women; woman,イ,おど.す; おど.し; おど.かす,9,N1,i (ON); odo.su (KUN); odo.shi (KUN); odo.kasu (KUN)
滅,390,destroy,water; water droplets; water pistol; march; fire,メツ,ほろ.びる; ほろ.ぶ; ほろ.ぼす,13,N1,metsu (ON); horo.biru (KUN); horo.bu (KUN); horo.bosu (KUN)
